㔶	kong
突变谱	tu bien pu
突变频率	tu bien pin soi
突嘴	tu jyu
突围	tu wei
突围而出	tu wei e qyu
突地	tu ti
突堤	tu di
突增	tu zen
突如其来	tu lu qi loi
突如其然	tu lu qi len
突审	tu sen
突射	tu xia
突射入门	tu xia lu men
突尼斯	tu ni su
突尼斯人	tu ni su nin
突尼斯共和国	tu ni su kung ho gue
突尼斯政府	tu ni su zen fu
突尼斯队	tu ni su dei
突尼西亚	tu ni xi nga
突感	tu gong
突施	tu si
突施冷箭	tu si lang jien
突显	tu xien
突显出	tu xien qyu
突泉	tu qon
突泉县	tu qon xon
突然	tu len
突然性	tu len xin
突然折断	tu len ze ton
突然行动	tu len hang teng
突然袭击	tu len xi ji
突然转向	tu len jon xiong
突现	tu xien
突着	tu qio
突破	tu po
突破口	tu po kieu
突破性	tu po xin
突破点	tu po dien
突破现状	tu po xien cong
突破者	tu po jia
突破防线	tu po fong xien
突破难关	tu po lan kuan
突突	tu tu
突突突	tu tu tu
突袭	tu xi
突袭战术	tu xi zan xyu
突见	tu jien
突触	tu qyu
突触发生	tu qyu fai sang
突触囊泡	tu qyu long pau
突触小体	tu qyu xieu ti
突触效能	tu qyu hau len
突触蛋白	tu qyu tan pa
突贯	tu guon
突起	tu qi
突起来	tu qi loi
突起物	tu qi wu
突越	tu yue
突进	tu jin
突遇	tu yu
突防	tu fong
突降	tu gong
突降滑道	tu gong wai tau
突飞	tu fi
突飞猛进	tu fi mang jin
窃	qie
窃以为	qie yi wei
窃位	qie wei
窃位素餐	qie wei su can
窃取	qie qi
窃名	qie miang
窃听	qie tiang
窃听器	qie tiang qi
窃喜	qie xi
窃国	qie gue
窃国大盗	qie gue tai tau
窃国者侯	qie gue jia heu
窃国贼	qie gue ce
窃夺	qie do
窃嫌	qie xien
窃密	qie mi
窃居高位	qie jyu gau wei
窃得	qie de
窃据	qie jyu
窃据要津	qie jyu yeu jin
窃案	qie ngon
窃犯	qie fan
窃玉偷香	qie yu teu xiong
窃用	qie yiung
窃盗	qie tau
窃盗罪	qie tau jyu
窃窃	qie qie
窃窃私议	qie qie su ni
窃窃私语	qie qie su nyu
窃笑	qie xieu
窃贼	qie ce
窃走	qie zeu
窃车团伙	qie qia ton fo
窃钩窃国	qie gieu qie gue
窃钩者诛	qie gieu jia jyu
窄	zai
窄小	zai xieu
窄巴	zai ba
窄巴巴	zai ba ba
窄巷	zai hong
窄带	zai dai
窄幅	zai fu
窄得	zai de
窄条	zai tieu
窄板	zai ban
窄沟效应	zai gieu hau yin
窄狭	zai ha
窄窄	zai zai
窄窄的	zai zai de
窄网	zai mong
窄路	zai lu
窄道	zai tau
窄门	zai men
窄门窄户	zai men zai fu
窅	lieu
窈	lieu
窈窕	lieu tieu
窈窕淑女	lieu tieu xyu nyu
窍	qieu
窍取	qieu qi
窍门	qieu men
窑	yeu
窑主	yeu jyu
窑具	yeu jyu
窑内	yeu nyu
窑厂	yeu qiong
窑变	yeu bien
窑口	yeu kieu
窑器	yeu qi
窑址	yeu zi
窑坑	yeu kang
窑头	yeu teu
窑姐	yeu jia
窑姐儿	yeu jia e
窑子	yeu zu
窑居	yeu jyu
窑工	yeu gung
窑洞	yeu teng
窑湾	yeu wan
窑灶	yeu zau
窑炉	yeu lu
窒	zi
窒塞	zi se
窒息	zi xi
窒息而死	zi xi e su
窒欲	zi yu
窒碍	zi ngoi
窒碍难行	zi ngoi lan hang
窒闷	zi men
窕	tieu
窖	gau
窖变	gau bien
窖子	gau zu
窖洞	gau teng
窖菜	gau coi
窖藏	gau cong
窖酒	gau jiu
窗	cong
窗上	cong xiong
窗体	cong ti
窗创伤	cong cong xiong
窗前	cong qien
窗口	cong kieu
窗口化	cong kieu fa
窗口单位	cong kieu dan wei
窗口地区	cong kieu ti qyu
窗口期	cong kieu qi
窗口边框	cong kieu bien kuang
窗台	cong toi
窗台上	cong toi xiong
窗台绿化	cong toi liu fa
窗园	cong yon
窗外	cong ngoi
窗外事	cong ngoi su
窗子	cong zu
窗帘	cong lien
窗帘布	cong lien bu
窗帘杆	cong lien gon
窗帘盒	cong lien ho
窗帘轨道	cong lien gui tau
窗帷	cong wei
窗幔	cong man
窗座	cong co
窗式	cong si
窗式空调	cong si kung tieu
窗户	cong fu
窗户上	cong fu xiong
窗户纸	cong fu zi
窗扇	cong sen
窗扉	cong fi
窗插销	cong ca xieu
窗撑头	cong cang teu
窗明几净	cong miang ji qin
窗机	cong ji
窗板	cong ban
窗栏	cong lan
窗格	cong ga
窗格子	cong ga zu
窗框	cong kuang
窗棱	cong len
窗楣	cong mi
窗橱	cong qyu
窗沿	cong yon
窗洞	cong teng
窗牖	cong yiu
窗玻璃	cong bo li
窗纱	cong sa
窗纸	cong zi
窗缝	cong feng
窗花	cong fa
窗销	cong xieu
窗门	cong men
窗间过马	cong gan guo ma
窗饰	cong si
窘	jiung
窘乏	jiung fai
窘促	jiung cu
窘况	jiung kuong
窘厄	jiung ngo
窘困	jiung kun
窘境	jiung qin
窘局	jiung qiu
窘得	jiung de
窘态	jiung toi
窘态毕露	jiung toi bi lu
窘急	jiung ji
窘惶	jiung fong
窘状	jiung cong
窘相	jiung xiong
窘色	jiung se
窘败	jiung pai
窘迫	jiung po
窜	con
窜入	con lu
窜出	con qyu
窜升	con sen
窜扰	con leu
窜改	con goi
窜犯	con fan
窜端匿迹	con doi ni ji
窜网	con mong
窜谋	con meu
窜跑	con pau
窜进	con jin
窜逃	con tau
窝主	wo jyu
窝停主人	wo tin jyu nin
窝内	wo nyu
窝囊	wo long
窝囊废	wo long fi
窝囊气	wo long qi
窝头	wo teu
窝子	wo zu
窝家	wo ga
窝巢	wo cau
窝工	wo gung
窝心	wo xin
窝棚	wo peng
窝气	wo qi
窝沟龋	wo gieu fu
窝洞	wo teng
窝洞涂剂	wo teng tu ji
窝洞预备	wo teng yu pi
窝火	wo fo
窝火憋气	wo fo bie qi
窝点	wo dien
窝瓜	wo gua
窝瓦河	wo nga ho
窝窝	wo wo
窝窝头	wo wo teu
窝藏	wo cong
窝藏祸心	wo cong fo xin
窝藏罪	wo cong jyu
窝藏罪犯	wo cong jyu fan
窝贼	wo ce
窝赃	wo zong
窝赃罪	wo zong jyu
窝轮	wo len
窝边草	wo bien cau
窝逃	wo tau
窝里	wo li
窝里反	wo li fan
窝里斗	wo li deu
窝里横	wo li wang
窝里窝囊	wo li wo long
窝铺	wo pu
窝阔台	wo koi toi
窝风	wo feng
窟	ku
窟宅	ku zai
窟室	ku si
窟穴	ku xyue
窟窖	ku gau
窟窿	ku leng
窟窿眼	ku leng ngan
窟窿眼儿	ku leng ngan e
窠	ko
窠巢	ko cau
窠穴	ko xyue
窠臼	ko jiu
窣	tu
窣窣	tu tu
窥	kui
窥伺	kui su
窥孔	kui kung
窥察	kui ca
窥寻	kui qin
窥度	kui tu
窥探	kui tan
窥探究竟	kui tan jiu jin
窥探者	kui tan jia
窥望	kui wong
窥求	kui qiu
窥测	kui ce
窥测孔	kui ce kung
窥牖小儿	kui yiu xieu e
窥看	kui kon
窥知	kui zi
窥破	kui po
窥见	kui jien
窥见一斑	kui jien yi ban
窥觅	kui mi
窥视	kui si
窥视镜	kui si jiang
窥觎	kui yu
窥豹一斑	kui bau yi ban
窥镜	kui jiang
窥闲伺隙	kui han su xi
窥间伺隙	kui gan su xi
窦	teu
窦丛生	teu ceng sang
窦入路	teu lu lu
窦叔蒙	teu xu meng
窦天章	teu tien jiong
窦太主	teu toi jyu
窦太后	teu toi heu
窦娘娘	teu niong niong
窦娥冤	teu ngo yuon
窦婴驻	teu yin jyu
窦宪兄弟	teu han xiang ti
窦宪大	teu han tai
窦宪奉	teu han feng
窦家庄	teu ga zong
窦少君	teu seu jyun
窦尔墩	teu ng deng
窦尔泰	teu ng toi
窦师伦	teu su len
窦广国	teu guong gue
窦建德	teu jien de
窦开远	teu koi yon
窦性停搏	teu xin tin bo
窦性心	teu xin xin
窦总管	teu zeng guon
窦房结	teu fong jie
窦房阻滞	teu fong zu zi
窦文娴	teu wen han
窦文涛	teu wen tau
窦智孔	teu zi kung
窦朝荣	teu zeu leng
窦桂梅	teu gui mi
窦状	teu cong
窦猗房	teu yi fong
窦玉沛	teu yu pi
窦皇后	teu fong heu
窦纳乐	teu la lo
窦美仪	teu mi yi
窦老太	teu lau toi
窦融奉	teu yiung feng
窦融归	teu yiung gui
窦连东	teu lien deng
窦道	teu tau
窦长君	teu qiong jyun
窦靖童	teu jin teng
窨	yin
窨井	yin jiang
窨井盖	yin jiang goi
窬	yu
窭	fu
窳	yu
窸	xi
窿	leng
立	li
立三	li san
立上	li xiong
立下	li ha
立世子	li si zu
立业	li nie
立业安邦	li nie ngon bong
立为	li wei
立义海	li ni hoi
立于	li yu
立于不败	li yu bei pai
立于不败之地	li yu bei pai zi ti
立井	li jiang
立交	li gau
立交化	li gau fa
立交桥	li gau qieu
立交点	li gau dien
立人	li nin
立人达人	li nin tai nin
立传	li qon
立位	li wei
立住	li qyu
立体	li ti
立体主义	li ti jyu ni
立体交叉	li ti gau ca
立体仓库	li ti cong ku
立体几何	li ti ji ho
立体化	li ti fa
立体化学	li ti fa ho
立体匹配	li ti pi pi
立体图	li ti tu
立体地图	li ti ti tu
立体声	li ti xiang
立体广告	li ti guong gau
立体式	li ti si
立体影片	li ti yang pien
立体性	li ti xin
立体感	li ti gong
立体战	li ti zan
立体技术	li ti ji xyu
立体挤压	li ti jie nga
立体派	li ti pai
立体照片	li ti zeu pien
立体片	li ti pien
立体电影	li ti tien yang
立体电视	li ti tien si
立体画	li ti fa
立体眼镜	li ti ngan jiang
立体观察	li ti guon ca
立体角	li ti go
立体象对	li ti xiong dei
立体车库	li ti qia ku
立体银幕	li ti ngin mu
立体镜	li ti jiang
立体音响	li ti yin xiong
立候	li heu
立储君	li qyu jyun
立像	li xiong
立元	li yon
立元修	li yon xiu
立元嗣	li yon si
立元恭	li yon gung
立克	li kie
立克式	li kie si
立克次体	li kie cu ti
立党为公	li dong wei gung
立党之本	li dong zi ben
立其子	li qi zu
立冬	li deng
立决	li ko
立刘协	li liu xie
立刘崇	li liu qiung
立刘恒	li liu heng
立刘盈	li liu yang
立刘言	li liu nien
立刘询	li liu xyun
立刘豫	li liu yu
立刻	li kie
立功	li gung
立功受奖	li gung seu jiong
立功喜报	li gung xi bau
立功援奖	li gung yon jiong
立功赎罪	li gung xyu jyu
立升	li sen
立卫王	li wei wong
立即	li ji
立即地址	li ji ti zi
立即行动	li ji hang teng
立卷	li jon
立原山	li nyuon san
立叶尔	li ye ng
立号	li hau
立司马昱	li su ma ju
立名	li miang
立命	li miang
立命召	li miang zeu
立命安身	li miang ngon sen
立和林	li ho lin
立嗣	li si
立嗣君	li si jyun
立国	li gue
立国之本	li gue zi ben
立国安邦	li gue ngon bong
立地	li ti
立地书厨	li ti xyu qyu
立地书橱	li ti xyu qyu
立地成佛	li ti cen fo
立地条件	li ti tieu qien
立场	li qiong
立场坚定	li qiong jien tiang
立场态度	li qiong toi tu
立场问题	li qiong wen ti
立大功	li tai gung
立太子	li toi zu
立太宗	li toi zeng
立夷男	li yi lang
立契	li qi
立好	li hau
立委	li wei
立姿	li zu
立姿射击	li zu xia ji
立子亮	li zu liong
立安敦	li ngon den
立宋徽	li seng fi
立定	li tiang
立宣帝	li xyuon ti
立宪	li han
立宪之	li han zi
立宪保	li han bau
立宪国	li han gue
立宪密	li han mi
立宪政体	li han zen ti
立宪期	li han qi
立宪民主	li han min jyu
立宪派	li han pai
立宪诸	li han jyu
立宪运动	li han yun teng
立射	li xia
立少子	li seu zu
立山区	li san qyu
立崇祯	li qiung zen
立常洛	li qiong lo
立幼君	li yiu jyun
立庐陵	li lu lin
立建子	li jien zu
立异	li yi
立式	li si
立得	li de
立御史	li yu si
立德	li de
立志	li zi
立志传	li zi qon
立息	li xi
立意	li yi
立成	li cen
立成仪	li cen yi
立户	li fu
立抚军	li fu jyun
立据	li jyu
立敬瑭	li jin tong
立文帝	li wen ti
立新	li xin
立新功	li xin gung
立新君	li xin jyun
立新帝	li xin ti
立方	li fong
立方体	li fong ti
立方公分	li fong gung fen
立方公寸	li fong gung ceng
立方公尺	li fong gung qia
立方公里	li fong gung li
立方分米	li fong fen mi
立方厘米	li fong li mi
立方形	li fong xin
立方根	li fong gien
立方毫米	li fong hau mi
立方码	li fong ma
立方米	li fong mi
立方英寸	li fong yin ceng
立方英尺	li fong yin qia
立时	li si
立时三刻	li si san kie
立昌邑	li qiong yi
立明宗	li miang zeng
立晋王	li jin wong
立普斯	li pu su
立曼科	li man ko
立有	li yiu
立朝纲	li zeu gong
立木	li mu
立木南门	li mu lang men
立本	li ben
立朱祁	li jyu zi
立杨勇	li yong yiung
立杨隆	li yong leng
立板	li ban
立枯病	li ku piang
立柜	li kui
立柱	li jyu
立柱式	li jyu si
立桂王	li gui wong
立桂藩	li gui fan
立案	li ngon
立案侦察	li ngon zen ca
立案侦查	li ngon zen ca
立案查处	li ngon ca qyu
立案率	li ngon soi
立案监督	li ngon gan du
立楚公子	li cyu gung zu
立楚怀	li cyu fai
立止血	li zi xyue
立正	li jiang
立正口令	li jiang kieu lin
立此存照	li cu ceng zeu
立武氏	li wu si
立武王	li wu wong
立江夏	li gong ha
立法	li fa
立法会	li fa fi
立法委员	li fa wei yon
立法局	li fa qiu
立法机关	li fa ji kuan
立法机构	li fa ji gieu
立法权	li fa qon
立法法	li fa fa
立法者	li fa jia
立法院	li fa yon
立派	li pai
立消	li xieu
立渠帅	li gie soi
立潞王	li lu wong
立灵帝	li lin ti
立炀帝	li yong ti
立特勤	li te qin
立状	li cong
立现	li xien
立甘宗	li gon zeng
立生	li sang
立白	li pa
立眉瞪眼	li mi den ngan
立真金	li zen jin
立石敬	li xia jin
立石梁	li xia liong
立破义	li po ni
立碑	li bi
立碑纪	li bi ji
立福临	li fu lin
立福晋	li fu jin
立福王	li fu wong
立福藩	li fu fan
立窝尼	li wo ni
立端王	li doi wong
立竿	li gon
立竿见影	li gon jien yang
立等	li den
立等可取	li den kie qi
立约	li yo
立统军	li teng jyun
立耶律	li xia lyu
立耶律淳	li xia lyu qyun
立耶律齐	li xia lyu qi
立脚	li jio
立脚点	li jio dien
立英宗	li yin zeng
立萧绎	li xieu yi
立蒙哥	li meng ko
立行泉	li hang qon
立见	li jien
立见好转	li jien hau jon
立视图	li si tu
立言	li nien
立誓	li si
立论	li len
立诸吕	li jyu lyu
立谈之间	li tan zi gan
立账	li jiong
立起	li qi
立足	li zu
立足之地	li zu zi ti
立足于	li zu yu
立足未稳	li zu wei wen
立足本职	li zu ben zi
立足点	li zu dien
立身	li sen
立身处世	li sen qyu si
立身扬名	li sen yong miang
立身行事	li sen hang su
立身行己	li sen hang ji
立转窗	li jon cong
立轴	li zeu
立载漪	li zoi yi
立达	li tai
立遗嘱	li yi ju
立邦漆	li bong qi
立钦察	li qin ca
立铣刀	li xien dau
立锥之地	li jyu zi ti
立镜	li jiang
立院	li yon
立陶夫	li tau fu
立陶宛	li tau wan
立陶宛人	li tau wan nin
立陶宛共和国	li tau wan kung ho gue
立陶宛语	li tau wan nyu
立集东	li ji deng
立雾溪	li wu xi
立面	li mien
立面图	li mien tu
立项	li hong
立顿	li den
立领	li liang
立马	li ma
立马万言	li ma wan nien
立马儿	li ma e
立鹤方	li ho fong
立麻力	li ma li
竑	feng
竖	xyu
竖井	xyu jiang
竖写	xyu xia
竖列	xyu lie
竖勾	xyu gieu
竖向	xyu xiong
竖吹	xyu qyu
竖子	xyu zu
竖子成名	xyu zu cen miang
竖干	xyu kon
竖弯勾	xyu wan gieu
竖心旁	xyu xin pong
竖排	xyu pai
竖旗	xyu qi
竖条	xyu tieu
竖炉	xyu lu
竖琴	xyu qin
竖直	xyu ci
竖眉瞪眼	xyu mi den ngan
竖眼	xyu ngan
竖穴墓	xyu xyue mu
竖立	xyu li
竖立起来	xyu li qi loi
竖笛	xyu ti
竖线	xyu xien
竖蜻蜓	xyu qin tin
竖行	xyu hang
竖调	xyu tieu
竖起	xyu qi
竖起脊梁	xyu qi ji liong
站	zan
站上	zan xiong
站上去	zan xiong qie
站上来	zan xiong loi
站下	zan ha
站不住	zan bei qyu
站不住脚	zan bei qyu jio
站不稳	zan bei wen
站不起来	zan bei qi loi
站位	zan wei
站住	zan qyu
站住脚	zan qyu jio
站内	zan nyu
站内搜索	zan nyu seu so
站出	zan qyu
站前区	zan qien qyu
站务	zan wu
站务员	zan wu yon
站务管理	zan wu guon li
站区	zan qyu
站友	zan yiu
站口	zan kieu
站台	zan toi
站台票	zan toi pieu
站台雨棚	zan toi yu peng
站名	zan miang
站哨	zan xio
站场	zan qiong
站址	zan zi
站定	zan tiang
站岗	zan gong
站岗放哨	zan gong fong xio
站得住	zan de qyu
站得住脚	zan de qyu jio
站房	zan fong
站拢	zan leng
站柜台	zan kui toi
站段	zan ton
站法	zan fa
站点	zan dien
站牌	zan pai
站着不动	zan qio bei teng
站票	zan pieu
站稳	zan wen
站稳立场	zan wen li qiong
站稳脚步	zan wen jio pu
站稳脚跟	zan wen jio gien
站立	zan li
站立起来	zan li qi loi
站端	zan doi
站级	zan ji
站网	zan mong
站脚助威	zan jio qyu wei
站街女	zan gai nyu
站起	zan qi
站进去	zan jin qie
站进来	zan jin loi
站里	zan li
站长	zan jiong
站长站	zan qiong zan
站长网	zan qiong mong
站间试压	zan gan si nga
站队	zan dei
竞	jin
竞业禁止	jin nie jin zi
竞买	jin mai
竞买人	jin mai nin
竞买价	jin mai ga
竞买者	jin mai jia
竞争	jin zang
竞争上岗	jin zang xiong gong
竞争剂	jin zang ji
竞争力	jin zang li
竞争变迁	jin zang bien qien
竞争对手	jin zang dei seu
竞争心	jin zang xin
竞争性	jin zang xin
竞争手段	jin zang seu ton
竞争机制	jin zang ji zi
竞争法	jin zang fa
竞争者	jin zang jia
竞争能力	jin zang len li
竞今疏古	jin jin su gu
竞价	jin ga
竞价排名	jin ga pai miang
竞公疏古	jin gung su gu
竞合	jin ho
竞向	jin xiong
竞夺	jin do
竞岗	jin gong
竞开	jin koi
竞得	jin de
竞技	jin ji
竞技体操	jin ji ti cau
竞技场	jin ji qiong
竞技性	jin ji xin
竞技扬	jin ji yong
竞技状态	jin ji cong toi
竞技队	jin ji dei
竞技风暴	jin ji feng pau
竞投	jin teu
竞投人	jin teu nin
竞折腰	jin ze yeu
竞拍	jin pa
竞拍者	jin pa jia
竞斗	jin deu
竞日	jin ni
竞春	jin qyun
竞标	jin bieu
竞标者	jin bieu jia
竞渡	jin tu
竞猜	jin cai
竞猜活动	jin cai woi teng
竞用	jin yiung
竞相	jin xiong
竞相压价	jin xiong nga ga
竞相奔走	jin xiong ben zeu
竞短争长	jin don zang qiong
竞秀	jin xiu
竞聘	jin pin
竞聘上岗	jin pin xiong gong
竞聚率	jin jyu soi
竞自	jin cu
竞艳	jin yen
竞试	jin si
竞购	jin gieu
竞赛	jin soi
竞赛奖	jin soi jiong
竞赛心理	jin soi xin li
竞赛活动	jin soi woi teng
竞赛者	jin soi jia
竞赛部	jin soi pu
竞赛题	jin soi ti
竞走	jin zeu
竞走比赛	jin zeu bi soi
竞走运动	jin zeu yun teng
竞跑	jin pau
竞选	jin xon
竞选人	jin xon nin
竞选活动	jin xon woi teng
竞逐	jin jyu
竞速	jin su
竞速赛	jin su soi
竞销	jin xieu
竞驰	jin ci
竟	jin
竟为	jin wei
竟争力	jin zang li
竟于	jin yu
竟址	jin zi
竟夕	jin xi
竟夜	jin ya
竟敢	jin gong
竟日	jin ni
竟日来	jin ni loi
竟是	jin si
竟未	jin wei
竟来	jin loi
竟然	jin len
竟猜	jin cai
竟用	jin yiung
竟而	jin e
竟自	jin cu
竟至	jin zi
竟要	jin yeu
竟购	jin gieu
竟陵	jin lin
竟需	jin xyu
竟须	jin xyu
章	jiong
章三爷	jiong san ya
章与章	jiong yu jiong
章丘	jiong qiu
章丘县	jiong qiu xon
章丘市	jiong qiu si
章乃器	jiong lai qi
章亚若	jiong nga lo
章京	jiong jin
章京中	jiong jin jiung
章京吼	jiong jin heu
章京统	jiong jin teng
章以功	jiong yi gung
章会客	jiong fi ka
章伯钧	jiong be jyun
章伯颜	jiong be yen
章佳氏	jiong ka si
章允儒	jiong yun lu
章公公	jiong gung gung
章典制	jiong dien zi
章则	jiong ze
章前冠	jiong qien guon
章动	jiong teng
章动角	jiong teng go
章十爷	jiong si ya
章华寺	jiong fa si
章句	jiong jyu
章句之徒	jiong jyu zi tu
章句小儒	jiong jyu xieu lu
章可循	jiong kie xyun
章可查	jiong kie ca
章台杨柳	jiong toi yong liu
章台柳	jiong toi liu
章名涛	jiong miang tau
章含之	jiong hong zi
章启月	jiong qi nyue
章哈麻	jiong ha ma
章嘉呼	jiong ga fu
章回	jiong fi
章回体	jiong fi ti
章回小说	jiong fi xieu xyue
章坪镇	jiong piang zen
章士钊	jiong si zeu
章大郎	jiong tai long
章太炎	jiong toi yen
章子	jiong zu
章子仪	jiong zu yi
章子峰	jiong zu feng
章子怡	jiong zu toi
章子曾	jiong zu zen
章孝严	jiong hau nien
章孝慈	jiong hau cu
章学诚	jiong ho cen
章完纳	jiong won la
章宗祥	jiong zeng xiong
章帝建	jiong ti jien
章开沅	jiong koi yon
章微露	jiong zang lu
章德皇后	jiong de fong heu
章念生	jiong nien sang
章怀太子	jiong fai toi zu
章恭迎	jiong gung yin
章攻杨	jiong gung yong
章明基	jiong miang ji
章有法	jiong yiu fa
章服	jiong fu
章札委	jiong zai wei
章楚红	jiong cyu feng
章正宸	jiong jiang cen
章汉夫	jiong hon fu
章沁生	jiong sen sang
章法	jiong fa
章海贤	jiong hoi xien
章炳麟	jiong bin lin
章率兵	jiong soi bin
章甫荐履	jiong pu jien lyu
章目	jiong mu
章程	jiong cen
章立凡	jiong li fan
章素存	jiong su ceng
章老三	jiong lau san
章节	jiong jie
章节数	jiong jie su
章草	jiong cau
章虚道人	jiong xyu tau nin
章行严	jiong hang nien
章衣萍	jiong yi pin
章贡区	jiong gung qyu
章进举	jiong jin jyu
章进怒	jiong jin lu
章进笑	jiong jin xieu
章钦臣	jiong qin cen
章锡琛	jiong xi qin
章门	jiong men
章闻言	jiong wen nien
章鱼	jiong nyu
章鱼村	jiong nyu qyun
章鱼烧	jiong nyu seu
章鸿钊	jiong fen zeu
竣	jyun
竣事	jyun su
竣工	jyun gung
童	teng
童一剑	teng yi jien
童书业	teng xyu nie
童仆	teng pu
童从社	teng qiung xia
童从稷	teng qiung ji
童以备	teng yi pi
童便	teng pien
童儿	teng e
童儿忽	teng e fei
童儿睡	teng e xyu
童兆和	teng zeu ho
童先生	teng xien sang
童养媳	teng yong xi
童军	teng jyun
童军鹏	teng jyun pen
童化金	teng fa jin
童叟无欺	teng cau wu qi
童合立	teng ho li
童吴升	teng wu sen
童坦君	teng tan jyun
童声	teng xiang
童声版	teng xiang ban
童大人	teng tai nin
童大哥	teng tai ko
童大海	teng tai hoi
童大焕	teng tai fon
童大爷	teng tai ya
童太尉	teng toi wei
童夫人	teng fu nin
童夫尧	teng fu lieu
童女	teng nyu
童妓	teng ji
童子	teng zu
童子军	teng zu jyun
童子功	teng zu gung
童子痨	teng zu lau
童子试	teng zu si
童子鸡	teng zu ji
童安格	teng ngon ga
童宣抚	teng xyuon fu
童尊礼	teng zeng li
童山	teng san
童山濯濯	teng san hau hau
童工	teng gung
童席	teng xi
童年	teng nien
童年无忌	teng nien wu ji
童年时代	teng nien si toi
童年时期	teng nien si qi
童年期	teng nien qi
童年阴影	teng nien yin yang
童庆炳	teng qin bin
童庆禧	teng qin xi
童心	teng xin
童心未泯	teng xin wei min
童志成	teng zi cen
童怀道	teng fai tau
童时入	teng si lu
童星	teng xin
童晓渝	teng xieu yu
童正维	teng jiang wei
童气	teng qi
童渊铭	teng yon miang
童炳强	teng bin qiong
童爱玲	teng ngoi lin
童牛角马	teng niu go ma
童球溪	teng qiu xi
童生	teng sang
童男	teng lang
童男童女	teng lang teng nyu
童百熊	teng ba xiung
童相斗	teng xiong deu
童真	teng zen
童稚	teng zi
童立本	teng li ben
童自荣	teng cu leng
童蒙	teng meng
童袜	teng wai
童装	teng zong
童装店	teng zong dien
童裤	teng ku
童言戏语	teng nien xi nyu
童言无忌	teng nien wu ji
童话	teng wa
童话世界	teng wa si gai
童话剧	teng wa jyu
童话国	teng wa gue
童话故事	teng wa gu su
童话般	teng wa bon
童话集	teng wa ji
童谣	teng yeu
童贞	teng zen
童贯之	teng guon zi
童贯令	teng guon lin
童贯入	teng guon lu
童贯再	teng guon zoi
童贯军	teng guon jyun
童贯则	teng guon ze
童贯只	teng guon zi
童贯启	teng guon qi
童贯幕	teng guon mu
童贯才	teng guon coi
童贯早	teng guon zau
童贯明	teng guon miang
童贯来	teng guon loi
童贯派	teng guon pai
童贯真	teng guon zen
童贯而	teng guon e
童贯见	teng guon jien
童趣	teng qyu
童跟著	teng gien jyu
童身	teng sen
童车	teng qia
童进来	teng jin loi
童长剑	teng qiong jien
童鞋	teng hai
童音	teng yin
童颜	teng yen
童颜鹤发	teng yen ho fai
竦	seng
竭	jie
竭之不用	jie zi bei yiung
竭力	jie li
竭力反对	jie li fan dei
竭力支持	jie li zi ci
竭力虔心	jie li qien xin
竭尽	jie qin
竭尽全力	jie qin qon li
竭尽力量	jie qin li liong
竭尽心力	jie qin xin li
竭尽忠诚	jie qin jiung cen
竭尽所能	jie qin so len
竭尽棉薄	jie qin mien po
竭心	jie xin
竭忠尽智	jie jiung qin zi
竭智尽力	jie zi qin li
竭智尽忠	jie zi qin jiung
竭智尽虑	jie zi qin lyu
竭泽焚薮	jie ca fen cau
竭泽而渔	jie ca e yu
竭泽而鱼	jie ca e nyu
竭能	jie len
竭虑	jie lyu
竭诚	jie cen
竭诚尽节	jie cen qin jie
竭诚拥护	jie cen yiung fu
竭诚服务	jie cen fu wu
竭诚欢迎	jie cen fon yin
竭诚相待	jie cen xiong toi
端上	doi xiong
端上去	doi xiong qie
端上来	doi xiong loi
端下	doi ha
端下去	doi ha qie
端下来	doi ha loi
端丽	doi li
端举	doi jyu
端人正士	doi nin jiang si
端佯	doi yong
端倪	doi e
端倪可察	doi e kie ca
端公	doi gung
端出	doi qyu
端出去	doi qyu qie
端出来	doi qyu loi
端午	doi wu
端午节	doi wu jie
端去	doi qie
端口	doi kieu
端口号	doi kieu hau
端口地址	doi kieu ti zi
端口扫描	doi kieu sau mieu
端口数	doi kieu su
端口映射	doi kieu yang xia
端口配置	doi kieu pi zi
端向配位	doi xiong pi wei
端坐	doi co
端头	doi teu
端子	doi zu
端子台	doi zu toi
端子板	doi zu ban
端尖	doi jien
端居	doi jyu
端州	doi zeu
端州区	doi zeu qyu
端平	doi piang
端庄	doi zong
端拱	doi gung
端掉	doi die
端接	doi jie
端整	doi zen
端方	doi fong
端木	doi mu
端木元	doi mu yon
端木蕻良	doi mu feng liong
端本正源	doi ben jiang yon
端本澄源	doi ben din yon
端机	doi ji
端来	doi loi
端来端去	doi loi doi qie
端架子	doi ga zu
端正	doi jiang
端正党风	doi jiang dong feng
端水	doi xyu
端点	doi dien
端王	doi wong
端电压	doi tien nga
端的	doi de
端的正士	doi de jiang si
端盖	doi goi
端盘子	doi pon zu
端直	doi ci
端相	doi xiong
端砚	doi yen
端碗	doi won
端端正正	doi doi jiang jiang
端粒	doi li
端系统	doi xi teng
端纳	doi la
端线	doi xien
端绪	doi xyu
端网络	doi mong lo
端节	doi jie
端茶	doi ca
端茶递水	doi ca ti xyu
端菜	doi coi
端视	doi si
端详	doi xiong
端赖	doi lai
端过去	doi guo qie
端过来	doi guo loi
端部联会	doi pu lien fi
端酒	doi jiu
端量	doi liong
端门	doi men
端阳	doi yong
端阳节	doi yong jie
端雅	doi nga
